feature,decision,reason,correlation_with_target,missing_pct
offensiveRating_roll_5,eligible,eligible for at least one first-pass feature set,0.2864879714427761,0.0079306358381502
offensiveRating_roll_10,eligible,eligible for at least one first-pass feature set,0.3299771206069058,0.0079306358381502
offensiveRating_roll_30,eligible,eligible for at least one first-pass feature set,0.3604862405331453,0.0079306358381502
offensiveRating_std_30,eligible,eligible for at least one first-pass feature set,-0.4600337548391362,0.0156685934489402
offensiveRating_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0115862243306995,0.0079306358381502
offensiveRating_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0295846833331129,0.0079306358381502
offensiveRating_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0342295114849853,0.0158766859344894
offensiveRating_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0381689654475033,0.0158766859344894
defensiveRating_roll_5,eligible,eligible for at least one first-pass feature set,0.1046247148277745,0.0079306358381502
defensiveRating_roll_10,eligible,eligible for at least one first-pass feature set,0.1251406531557851,0.0079306358381502
defensiveRating_roll_30,eligible,eligible for at least one first-pass feature set,0.1398209338190806,0.0079306358381502
defensiveRating_std_30,eligible,eligible for at least one first-pass feature set,-0.442868214560369,0.0156685934489402
defensiveRating_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0049460907073323,0.0079306358381502
defensiveRating_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0165757381981726,0.0079306358381502
defensiveRating_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.018924269365541,0.015776493256262
defensiveRating_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0215216462343332,0.015776493256262
estimatedDefensiveRating_roll_5,drop,redundant first-pass feature family based on EDA redundancy review,0.0405345730189141,0.0079306358381502
estimatedDefensiveRating_roll_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0480923080528841,0.0079306358381502
estimatedDefensiveRating_roll_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0501716116469059,0.0079306358381502
estimatedDefensiveRating_std_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.4208403156077671,0.0156685934489402
estimatedDefensiveRating_momentum_5_vs_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0032268143056324,0.0079306358381502
estimatedDefensiveRating_momentum_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0121011171783294,0.0079306358381502
estimatedDefensiveRating_z_5_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0135164620739929,0.0157610789980732
estimatedDefensiveRating_z_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0161234233967201,0.0157610789980732
pace_roll_5,eligible,eligible for at least one first-pass feature set,-0.0428056383108092,0.0079306358381502
pace_roll_10,eligible,eligible for at least one first-pass feature set,-0.0520650980445379,0.0079306358381502
pace_roll_30,eligible,eligible for at least one first-pass feature set,-0.0708609475887063,0.0079306358381502
pace_std_30,eligible,eligible for at least one first-pass feature set,-0.057197110950458,0.0156685934489402
pace_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0056711400155533,0.0079306358381502
pace_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.004087964444719,0.0079306358381502
pace_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0124416712965697,0.0156763005780346
pace_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0098998406010826,0.0156763005780346
starter_minutes_share_roll_3,eligible,eligible for at least one first-pass feature set,0.4560812839203292,0.0082697495183044
starter_minutes_share_roll_5,eligible,eligible for at least one first-pass feature set,0.4550178023661171,0.0082389210019267
starter_minutes_share_roll_10,eligible,eligible for at least one first-pass feature set,0.4516798121264262,0.0082389210019267
starter_minutes_share_roll_30,eligible,eligible for at least one first-pass feature set,0.436656604490476,0.0082389210019267
team_win_roll_5,eligible,eligible for at least one first-pass feature set,0.0048285421985751,0.20052408477842
team_win_roll_10,eligible,eligible for at least one first-pass feature set,0.0056984314878958,0.20052408477842
team_win_roll_30,eligible,eligible for at least one first-pass feature set,0.0056189740423852,0.20052408477842
team_win_std_30,eligible,eligible for at least one first-pass feature set,0.0039570871591447,0.20052408477842
team_win_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0003782712615541,0.20052408477842
team_win_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0021112143498079,0.20052408477842
team_win_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0017487335537574,0.20052408477842
team_win_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0021251355422095,0.20052408477842
team_score_roll_5,eligible,eligible for at least one first-pass feature set,0.012955941968585,0.20052408477842
team_score_roll_10,eligible,eligible for at least one first-pass feature set,0.0146320556132725,0.20052408477842
team_score_roll_30,eligible,eligible for at least one first-pass feature set,0.0168124393809933,0.20052408477842
team_score_std_30,eligible,eligible for at least one first-pass feature set,-0.0090745895823385,0.20052408477842
team_score_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0015964563955378,0.20052408477842
team_score_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0021105658822052,0.20052408477842
team_score_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0028303763250118,0.20052408477842
team_score_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.002486333607236,0.20052408477842
team_points_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0078834321642556,0.20052408477842
team_points_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0061262287339995,0.20052408477842
team_points_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0055933403798669,0.20052408477842
team_points_allowed_std_30,eligible,eligible for at least one first-pass feature set,-0.0037731516431284,0.20052408477842
team_points_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0050593510707028,0.20052408477842
team_points_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0027959717919169,0.20052408477842
team_points_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0055241374537944,0.20052408477842
team_points_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0025113052156188,0.20052408477842
team_pace_roll_5,eligible,eligible for at least one first-pass feature set,0.0083462487773388,0.20052408477842
team_pace_roll_10,eligible,eligible for at least one first-pass feature set,0.0089625480902816,0.20052408477842
team_pace_roll_30,eligible,eligible for at least one first-pass feature set,0.0128171578205384,0.20052408477842
team_pace_std_30,eligible,eligible for at least one first-pass feature set,0.0037365709161773,0.20052408477842
team_pace_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.001226231870947,0.20052408477842
team_pace_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0031644522250092,0.20052408477842
team_pace_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0014080036081219,0.20052408477842
team_pace_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0033064855483262,0.20052408477842
team_offensiveRating_roll_5,eligible,eligible for at least one first-pass feature set,0.010492290128404,0.20052408477842
team_offensiveRating_roll_10,eligible,eligible for at least one first-pass feature set,0.0120254515850248,0.20052408477842
team_offensiveRating_roll_30,eligible,eligible for at least one first-pass feature set,0.0108697854764485,0.20052408477842
team_offensiveRating_std_30,eligible,eligible for at least one first-pass feature set,-0.0080957568536108,0.20052408477842
team_offensiveRating_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0011869639196962,0.20052408477842
team_offensiveRating_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0055803395189514,0.20052408477842
team_offensiveRating_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0042484783144541,0.20052408477842
team_offensiveRating_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0056455931201458,0.20052408477842
team_defensiveRating_roll_5,eligible,eligible for at least one first-pass feature set,0.0047706660349927,0.20052408477842
team_defensiveRating_roll_10,eligible,eligible for at least one first-pass feature set,0.0023463325513869,0.20052408477842
team_defensiveRating_roll_30,eligible,eligible for at least one first-pass feature set,-0.0024653427962751,0.20052408477842
team_defensiveRating_std_30,eligible,eligible for at least one first-pass feature set,-0.0035453745649469,0.20052408477842
team_defensiveRating_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0047829598130053,0.20052408477842
team_defensiveRating_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0062778010363936,0.20052408477842
team_defensiveRating_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0076064029745946,0.20052408477842
team_defensiveRating_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0059027028664664,0.20052408477842
team_estimatedDefensiveRating_roll_5,drop,redundant first-pass feature family based on EDA redundancy review,0.0043580504437389,0.20052408477842
team_estimatedDefensiveRating_roll_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0023504560219689,0.20052408477842
team_estimatedDefensiveRating_roll_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.0024365846648332,0.20052408477842
team_estimatedDefensiveRating_std_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.0035950023604444,0.20052408477842
team_estimatedDefensiveRating_momentum_5_vs_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0041015455420441,0.20052408477842
team_estimatedDefensiveRating_momentum_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0062659715386941,0.20052408477842
team_estimatedDefensiveRating_z_5_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0071296324613961,0.20052408477842
team_estimatedDefensiveRating_z_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0059706240368121,0.20052408477842
team_fieldGoalsPercentage_roll_5,drop,redundant first-pass feature family based on EDA redundancy review,0.0072326389065002,0.20052408477842
team_fieldGoalsPercentage_roll_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0065729365285446,0.20052408477842
